Идентификатор;Название;Категория;Средний радиус;Идентификатор притягивающего объекта;Большая полуось орбиты;Период обращения;Эксцентриситет;Цвет;Клавиша;Код клавиши;Позиция в справке;
0;Солнце;Жёлтый карлик;695700;;;;;-36;0;48;0;
1;Меркурий;Планета земной группы;2439.7;0;57909050;7600530.24;0.20563593;-3631466;1;49;1;
2;Венера;Планета земной группы;6051.8;0;108208930;19414166.4;0.006772;-4144960;2;50;2;
3;Земля;Планета земной группы;6371;0;149598261;31558149.7635456;0.0167086;-13449016;3;51;3;
15;Луна;Спутник планеты;1737.1;3;384399;2360591.5104;0.0549;-4144960;Л;75;17;
16;МКС;Международная космическая станция;0.04;3;6775.85;5573;0.0114857354575768;-5716282;Й;81;18;
4;Марс;Планета земной группы;3389.5;0;2.2794382E8;59354294.4;0.0934;-39836;4;52;4;
17;Фобос;Спутник планеты;11.2667;4;9377.2;27553.843872;0.0151;;Ф;65;20;
18;Деймос;Спутник планеты;6.2;4;23463.2;109123.2;0.00033;;Д;76;21;
5;Юпитер;Газовый гигант;69911;0;7.78297882E8;374335776;0.048775;-14236;5;53;5;
19;Метида;Спутник планеты;21.5;5;127690;25468.992;0.00002;;;;;
20;Адрастея;Спутник планеты;8.2;5;128690;25769.664;0.0015;;;;;
21;Амальтея;Спутник планеты;83.5;5;181365.84;43042.702752;0.0032;;;;;
22;Фива;Спутник планеты;49.3;5;221889.0;58279.9104;0.0175;;;;;
23;Ио;Спутник планеты;1821.6;5;421700;152853.5047104;0.0041;-8323328;И;66;23;
24;Европа;Спутник планеты;1560.8;5;671034;306822.0384;0.0094;-14136;Е;84;24;
25;Ганимед;Спутник планеты;2634.1;5;1070412;618153.375744;0.0011;-354566;Г;85;25;
26;Каллисто;Спутник планеты;2410.3;5;1882709;1441931.18976;0.0074;-13449016;К;82;26;
27;Фемисто;Спутник планеты;4;5;7393216;1.1217105504E7;0.2115;;;;;
28;Леда;Спутник планеты;10;5;11187781;2.0815488E7;0.1673;;;;;
29;Гималия;Спутник планеты;85;5;11451971;2.1648384E7;0.1513;;;;;
30;Лиситея;Спутник планеты;18;5;11740560;2.239488E7;0.1322;;;;;
31;Элара;Спутник планеты;43;5;11778034;2.2432896E7;0.1948;;;;;
32;Дия;Спутник планеты;2;5;12570424;2.4877152E7;0.2058;;;;;
33;Карпо;Спутник планеты;1.5;5;17144873;3.96252E7;0.2735;;;;;
34;S/2003 J 12;Спутник планеты;0.5;5;17739539;-4.1704416E7;0.4449;;;;;
35;Эвпорие;Спутник планеты;1;5;19088434;-4.6550592E7;0.096;;;;;
36;S/2003 J 3;Спутник планеты;1;5;1.962178E7;-4.8515328E7;0.2507;;;;;
37;S/2003 J 18;Спутник планеты;1;5;1.9812577E7;-4.9224672E7;0.1569;;;;;
38;S/2011 J 1;Спутник планеты;0.5;5;2.0101E7;-5.017248E7;0.296;;;;;
39;S/2010 J 2;Спутник планеты;0.5;5;2.030715E7;-5.0874048E7;0.3076;;;;;
40;Тельксиное;Спутник планеты;1;5;2.0453753E7;-5.1633504E7;0.2684;;;;;
41;Эванте;Спутник планеты;1.5;5;2.0464854E7;-5.1674976E7;0.232;;;;;
42;Гелике;Спутник планеты;2;5;2.0540266E7;-5.196096E7;0.1374;;;;;
43;Ортозие;Спутник планеты;1;5;2.0567971E7;-5.2066368E7;0.2433;;;;;
44;Иокасте;Спутник планеты;2.6;5;2.0722566E7;-5.2654752E7;0.2874;;;;;
45;S/2003 J 16;Спутник планеты;1;5;2.0743779E7;-5.2735104E7;0.3184;;;;;
46;Праксидике;Спутник планеты;3.5;5;2.0823948E7;-5.304096E7;0.184;;;;;
47;Гарпалике;Спутник планеты;2;5;2.1063814E7;-5.3960256E7;0.244;;;;;
48;Мнеме;Спутник планеты;1;5;2.1129786E7;-5.4214272E7;0.3169;;;;;
49;Гермиппе;Спутник планеты;2;5;2.1182086E7;-5.4415584E7;0.229;;;;;
50;Тионе;Спутник планеты;2;5;2.140557E7;-5.527872E7;0.2525;;;;;
51;Ананке;Спутник планеты;14;5;2.1454952E7;-5.5470528E7;0.3445;;;;;
52;Герсе;Спутник планеты;1;5;2.2134306E7;-5.81256E7;0.2379;;;;;
53;Этне;Спутник планеты;1.5;5;2.2285161E7;-5.8720896E7;0.3927;;;;;
54;Кале;Спутник планеты;1;5;2.2409207E7;-5.9211648E7;0.2011;;;;;
55;Тайгете;Спутник планеты;2.5;5;2.2438648E7;-5.9328288E7;0.3678;;;;;
56;S/2003 J 19;Спутник планеты;1;5;2.2709061E7;-6.0403968E7;0.1961;;;;;
57;Халдене;Спутник планеты;1.9;5;2.2713444E7;-6.0422112E7;0.2916;;;;;
58;S/2003 J 15;Спутник планеты;1;5;2.2720999E7;-6.0452352E7;0.0932;;;;;
59;S/2003 J 10;Спутник планеты;1;5;2.2730813E7;-6.0491232E7;0.3438;;;;;
60;S/2003 J 23;Спутник планеты;1;5;2.2739654E7;-6.0526656E7;0.393;;;;;
61;Эриноме;Спутник планеты;1.6;5;2.2986266E7;-6.1513344E7;0.2552;;;;;
62;Аойде;Спутник планеты;2;5;2.3044175E7;-6.1746624E7;0.6011;;;;;
63;Каллихоре;Спутник планеты;1;5;2.3111823E7;-6.2018784E7;0.2041;;;;;
64;Калике;Спутник планеты;2.5;5;2.3180773E7;-6.2296128E7;0.2139;;;;;
65;Карме;Спутник планеты;23;5;2.3197992E7;-6.2365248E7;0.2342;;;;;
66;Каллирое;Спутник планеты;4.3;5;2.3214986E7;-6.2434368E7;0.2582;;;;;
